,TDE,ZXR,COM,Mean,Med,Mode,Var,ACC0,ACC1,ACC2,ACC3,Class
45,0.302834809,1401,69355.09956,-8.11E-05,-0.000489956,0,0.091708915,1,0.989121016,0.958424627,0.910376021,0
192,0.292583203,1172,74837.02343,-8.67E-05,-0.000174095,0,0.085604923,1,0.994747341,0.979452623,0.95484096,0
205,0.327100324,8310,66036.87435,-8.79E-05,0.017926186,0,0.106994614,1,0.986849843,0.949804924,0.891766037,0
318,0.29291047,15606,61730.09527,-8.07E-05,-0.00032457,0,0.085796537,1,0.988118757,0.955542058,0.905012772,0
338,0.395681334,1352,58366.73544,-8.38E-05,0,-0.000167336,0.156563711,1,0.985134176,0.943386733,0.877572642,0
417,0.406784696,-4185,62244.07623,-8.28E-05,0.000165289,-0.000165289,0.165473782,1,0.986833659,0.951134726,0.895640373,0
441,0.238047107,-5046,60895.56172,-9.59E-05,0.001354489,-0.000193498,0.056666416,1,0.994540654,0.978549761,0.952630085,0
528,0.398712374,6459,57224.16568,-8.05E-05,-0.00016072,-0.00016072,0.158971551,1,0.982425267,0.931695451,0.850407363,0
584,0.295736838,3861,55743.3583,-8.13E-05,0,0,0.087460271,1,0.98953052,0.960528088,0.915414994,0
609,0.288235178,-5392,65200.35053,-7.71E-05,-0.007100957,0,0.083079512,1,0.99058702,0.963136699,0.918946674,0
635,0.370824664,981,65298.50504,-8.66E-05,-0.000520833,-0.000173611,0.137510924,1,0.990429371,0.963322481,0.920962085,0
725,0.182211912,-4288,68240.47423,-8.28E-05,0,0,0.033201174,1,0.994792539,0.979520064,0.95479897,0
752,0.299663787,-12800,75450.22268,-0.000101916,0.000818163,0,0.089798375,1,0.994319747,0.977685953,0.950861774,0
844,0.312927769,6888,64702.26774,-8.40E-05,-0.000676247,0,0.097923782,1,0.993770929,0.975828482,0.947269698,0
889,0.333244968,-8696,73731.70614,-8.23E-05,-0.00016592,0,0.111052202,1,0.994151829,0.977342498,0.950458021,0
928,0.2368979,6010,66022.34196,-8.41E-05,0.000169607,0,0.056120608,1,0.993759088,0.975278533,0.945043697,0
930,0.29291047,15606,61730.09527,-8.07E-05,-0.00032457,0,0.085796537,1,0.988118757,0.955542058,0.905012772,0
962,0.460384655,-5643,60341.96226,-9.58E-05,0.00019216,0,0.211954022,1,0.988932578,0.957056678,0.906072251,0
974,0.288235178,-5392,65200.35053,-7.71E-05,-0.007100957,0,0.083079512,1,0.99058702,0.963136699,0.918946674,0
1014,0.370824664,981,65298.50504,-8.66E-05,-0.000520833,-0.000173611,0.137510924,1,0.990429371,0.963322481,0.920962085,0
1059,0.321235383,2952,73233.86213,-8.52E-05,-0.000682594,-0.000170648,0.103192164,1,0.99422335,0.977368204,0.950267469,0
1063,0.35354922,6345,50602.44801,-2.07E-05,-0.001951854,0,0.12499705,1,0.977720891,0.913444244,0.810943672,0
1064,0.333244968,-8696,73731.70614,-8.23E-05,-0.00016592,0,0.111052202,1,0.994151829,0.977342498,0.950458021,0
1078,0.295046749,3881,60696.99941,-8.12E-05,-0.000324992,0,0.087052578,1,0.982174234,0.932122745,0.853417863,0
1113,0.442065875,-1673,62052.61694,-8.02E-05,-0.000162259,-0.000162259,0.195422231,1,0.972710742,0.893937065,0.768434843,0
1143,0.274465703,1631,73840.45546,-8.63E-05,-0.000517866,0,0.075331415,1,0.992889853,0.972250782,0.939212787,0
1149,0.395681334,1352,58366.73544,-8.38E-05,0,-0.000167336,0.156563711,1,0.985134176,0.943386733,0.877572642,0
1175,0.272251747,3479,75822.0335,0.000840432,-0.000816727,-0.000163345,0.074120307,1,0.982724468,0.935040448,0.861862409,0
1204,0.292583203,1172,74837.02343,-8.67E-05,-0.000174095,0,0.085604923,1,0.994747341,0.979452623,0.95484096,0
1304,0.297716522,2225,67922.72015,-8.13E-05,-0.002930641,-0.000162813,0.088635121,1,0.990072016,0.962427354,0.919608605,0
1336,0.182211912,-4288,68240.47423,-8.28E-05,0,0,0.033201174,1,0.994792539,0.979520064,0.95479897,0
1361,0.299663787,-12800,75450.22268,-0.000101916,0.000818163,0,0.089798375,1,0.994319747,0.977685953,0.950861774,0
1401,0.460384655,-5643,60341.96226,-9.58E-05,0.00019216,0,0.211954022,1,0.988932578,0.957056678,0.906072251,0
1413,0.238047107,-5046,60895.56172,-9.59E-05,0.001354489,-0.000193498,0.056666416,1,0.994540654,0.978549761,0.952630085,0
1415,0.295736838,3861,55743.3583,-8.13E-05,0,0,0.087460271,1,0.98953052,0.960528088,0.915414994,0
1556,0.293832406,-11020,77863.38957,-9.50E-05,0.000383951,0,0.086337474,1,0.994459889,0.978149079,0.951666065,0
1568,0.250934384,-399,75230.0397,-7.82E-05,0,0,0.062968059,1,0.993952134,0.976172097,0.947372811,0
1677,0.392365413,-5104,58336.39803,-8.27E-05,-0.000166417,-0.000166417,0.153950611,1,0.985877991,0.945718876,0.881427338,0
1786,0.274465703,1631,73840.45546,-8.63E-05,-0.000517866,0,0.075331415,1,0.992889853,0.972250782,0.939212787,0
1790,0.31253662,-742,68070.85115,-7.98E-05,-0.000479846,-0.000159949,0.097679132,1,0.990826552,0.964480258,0.922610731,0
1807,0.312927769,6888,64702.26774,-8.40E-05,-0.000676247,0,0.097923782,1,0.993770929,0.975828482,0.947269698,0
1864,0.250934384,-399,75230.0397,-7.82E-05,0,0,0.062968059,1,0.993952134,0.976172097,0.947372811,0
1933,0.339057027,5929,65115.81745,-8.47E-05,-0.002209381,-0.000169952,0.11495966,1,0.994320481,0.977901495,0.951630256,0
2119,0.257177063,9570,72052.53711,-8.61E-05,-0.003103983,0,0.066140034,1,0.993859804,0.976188553,0.947961025,0
2121,0.398712374,6459,57224.16568,-8.05E-05,-0.00016072,-0.00016072,0.158971551,1,0.982425267,0.931695451,0.850407363,0
2131,0.235326498,5527,67549.48283,-8.38E-05,-0.000168919,0,0.055378554,1,0.98414475,0.940058374,0.872179404,0
2178,0.295046749,3881,60696.99941,-8.12E-05,-0.000324992,0,0.087052578,1,0.982174234,0.932122745,0.853417863,0
2298,0.302834809,1401,69355.09956,-8.11E-05,-0.000489956,0,0.091708915,1,0.989121016,0.958424627,0.910376021,0
2311,0.308710017,-4173,62774.41944,-8.12E-05,-0.00065189,0,0.095301868,1,0.986874918,0.951991155,0.898636892,0
2371,0.32498846,-2443,77303.50186,-8.89E-05,0.000533428,0,0.105617491,1,0.994508671,0.978333369,0.952017317,0
2374,0.452169502,-15729,69174.63885,-7.76E-05,-0.000781861,-0.000156372,0.204457253,1,0.996150791,0.985218569,0.96794346,0
2382,0.406784696,-4185,62244.07623,-8.28E-05,0.000165289,-0.000165289,0.165473782,1,0.986833659,0.951134726,0.895640373,0
2383,0.321235383,2952,73233.86213,-8.52E-05,-0.000682594,-0.000170648,0.103192164,1,0.99422335,0.977368204,0.950267469,0
2386,0.257177063,9570,72052.53711,-8.61E-05,-0.003103983,0,0.066140034,1,0.993859804,0.976188553,0.947961025,0
2507,0.339057027,5929,65115.81745,-8.47E-05,-0.002209381,-0.000169952,0.11495966,1,0.994320481,0.977901495,0.951630256,0
2526,0.442065875,-1673,62052.61694,-8.02E-05,-0.000162259,-0.000162259,0.195422231,1,0.972710742,0.893937065,0.768434843,0
2575,0.32498846,-2443,77303.50186,-8.89E-05,0.000533428,0,0.105617491,1,0.994508671,0.978333369,0.952017317,0
2645,0.327100324,8310,66036.87435,-8.79E-05,0.017926186,0,0.106994614,1,0.986849843,0.949804924,0.891766037,0
2721,0.27603304,-8443,68267.95422,-7.97E-05,-0.000160102,0,0.076194233,1,0.994543796,0.978639144,0.953020829,0
2766,0.272251747,3479,75822.0335,0.000840432,-0.000816727,-0.000163345,0.074120307,1,0.982724468,0.935040448,0.861862409,0
2778,0.27603304,-8443,68267.95422,-7.97E-05,-0.000160102,0,0.076194233,1,0.994543796,0.978639144,0.953020829,0
2811,0.392365413,-5104,58336.39803,-8.27E-05,-0.000166417,-0.000166417,0.153950611,1,0.985877991,0.945718876,0.881427338,0
2836,0.235326498,5527,67549.48283,-8.38E-05,-0.000168919,0,0.055378554,1,0.98414475,0.940058374,0.872179404,0
2855,0.293832406,-11020,77863.38957,-9.50E-05,0.000383951,0,0.086337474,1,0.994459889,0.978149079,0.951666065,0
2886,0.31253662,-742,68070.85115,-7.98E-05,-0.000479846,-0.000159949,0.097679132,1,0.990826552,0.964480258,0.922610731,0
2940,0.35354922,6345,50602.44801,-2.07E-05,-0.001951854,0,0.12499705,1,0.977720891,0.913444244,0.810943672,0
2997,0.297716522,2225,67922.72015,-8.13E-05,-0.002930641,-0.000162813,0.088635121,1,0.990072016,0.962427354,0.919608605,0
3052,0.334843019,-1442,64069.19422,-8.13E-05,-0.000163052,0,0.112119841,1,0.975832795,0.905980582,0.794342935,0
3160,0.2368979,6010,66022.34196,-8.41E-05,0.000169607,0,0.056120608,1,0.993759088,0.975278533,0.945043697,0
3191,0.308710017,-4173,62774.41944,-8.12E-05,-0.00065189,0,0.095301868,1,0.986874918,0.951991155,0.898636892,0
3204,0.334843019,-1442,64069.19422,-8.13E-05,-0.000163052,0,0.112119841,1,0.975832795,0.905980582,0.794342935,0
