CLF,Accuracy,Precision,Recall,Loss
XValCLFAlpha0@2020.11.14.20.08.49.581919@PREDICTIONS.csv,0.8534090909090909,0.8221692310279155,0.8861304488094021,2.3627662658691406
XValCLFAlpha1@2020.11.14.21.25.56.768400@PREDICTIONS.csv,0.8693181818181818,0.8300502496043569,0.8714574999785836,2.106342077255249
XValCLFAlpha2@2020.11.14.22.42.59.546852@PREDICTIONS.csv,0.8426136363636364,0.8148540682461186,0.8293988649436269,2.5367684364318848
XValCLFAlpha3@2020.11.15.01.30.25.511520@PREDICTIONS.csv,0.8721590909090909,0.8779070970559776,0.9016945966827731,2.060551881790161
XValCLFAlpha4@2020.11.15.02.45.05.040046@PREDICTIONS.csv,0.8767045454545455,0.8438633362497466,0.8874828779952498,1.9872878789901733
XValCLFAlpha5@2020.11.15.03.59.19.129948@PREDICTIONS.csv,0.8886363636363637,0.8736345445242801,0.8883079326184526,1.7949696779251099
XValCLFAlpha6@2020.11.15.05.13.43.386981@PREDICTIONS.csv,0.8954545454545455,0.8543275429019149,0.8726930208937344,1.685073733329773
XValCLFAlpha7@2020.11.15.06.26.54.145343@PREDICTIONS.csv,0.8914772727272727,0.8448196762927561,0.8589761740671572,1.7491796016693115
XValCLFAlpha8@2020.11.15.07.41.11.576174@PREDICTIONS.csv,0.9028409090909091,0.8636511224019244,0.8877844264023679,1.5660195350646973
XValCLFAlpha9@2020.11.15.08.57.15.269873@PREDICTIONS.csv,0.9027856736782263,0.9131526887356208,0.9187161788582455,1.566909909248352
