CLF,Accuracy,Precision,Recall,Loss
XValCLFAlpha0@2020.11.14.20.08.49.581919@PREDICTIONS.csv,0.853409091,0.822169231,0.886130449,2.362766266
XValCLFAlpha1@2020.11.14.21.25.56.768400@PREDICTIONS.csv,0.869318182,0.83005025,0.8714575,2.106342077
XValCLFAlpha2@2020.11.14.22.42.59.546852@PREDICTIONS.csv,0.842613636,0.814854068,0.829398865,2.536768436
XValCLFAlpha3@2020.11.15.01.30.25.511520@PREDICTIONS.csv,0.872159091,0.877907097,0.901694597,2.060551882
XValCLFAlpha4@2020.11.15.02.45.05.040046@PREDICTIONS.csv,0.876704545,0.843863336,0.887482878,1.987287879
XValCLFAlpha5@2020.11.15.03.59.19.129948@PREDICTIONS.csv,0.888636364,0.873634545,0.888307933,1.794969678
XValCLFAlpha6@2020.11.15.05.13.43.386981@PREDICTIONS.csv,0.895454545,0.854327543,0.872693021,1.685073733
XValCLFAlpha7@2020.11.15.06.26.54.145343@PREDICTIONS.csv,0.891477273,0.844819676,0.858976174,1.749179602
XValCLFAlpha8@2020.11.15.07.41.11.576174@PREDICTIONS.csv,0.902840909,0.863651122,0.887784426,1.566019535
XValCLFAlpha9@2020.11.15.08.57.15.269873@PREDICTIONS.csv,0.902785674,0.913152689,0.918716179,1.566909909
,,,,
,0.879539931,0.853842956,0.880264202,1.9415869
