Fullpath,Target Int,Target Str
C:\Users\Landon\Documents\audioWAV2\CONTRABASSOON.E3.15.mezzoforte.normal.wav,11,CONTRABASSOON
C:\Users\Landon\Documents\audioWAV2\VIOLA.G4.1.pianissimo.arconormal.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Gb3.R.wav,32,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV2\CLARINET.B3.1.fortissimo.normal.wav,8,BBCLARINET
C:\Users\Landon\Documents\audioWAV2\TROMBONE.F3.phrase.mezzoforte.staccatissimo.wav,29,TROMBONE
C:\Users\Landon\Documents\audioWAV1\Marimba.cord.E5.L.wav,20,MARIMBA
C:\Users\Landon\Documents\audioWAV2\VIOLA.A6.15.piano.arconormal.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV2\TROMBONE.G3.1.fortissimo.normal.wav,29,TROMBONE
C:\Users\Landon\Documents\audioWAV2\VIOLA.F5.025.mezzopiano.arconormal.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.Eb5.R.wav,0,ALTOFLUTE
C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Ds4.05.fortissimo.normal.wav,18,HORN
C:\Users\Landon\Documents\audioWAV2\VIOLA.Fs3.1.pianissimo.arconormal.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV2\VIOLA.G3.025.mezzopiano.arconormal.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV1\SopSax.vib.C5.L.wav,25,SOPSAX
C:\Users\Landon\Documents\audioWAV2\BASSOON.D5.1.mezzopiano.normal.wav,6,BASSOON
C:\Users\Landon\Documents\audioWAV2\CELLO.Ds2.025.forte.arconormal.wav,10,CELLO
C:\Users\Landon\Documents\audioWAV2\VIOLA.C3.1.mezzoforte.arcominortrill.wav,33,VIOLA
C:\Users\Landon\Documents\audioWAV2\FLUTE.D6.15.pianissimo.normal.wav,15,FLUTE
C:\Users\Landon\Documents\audioNoiseWAV\WhiteNoise.128.wav,35,WHITENOISE
