Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,113
2,BANJO,65
3,BASS,956
4,BASSCLARINET,923
5,BASSFLUTE,68
6,BASSOON,743
7,BASSTROMBONE,51
8,BBCLARINET,79
9,BELLS,149
10,CELLO,957
11,CLARINET,765
12,CONTRABASSOON,658
13,CROTALE,42
14,EBCLARINET,65
15,ENGLISHHORN,1238
16,FLUTE,935
17,GUITAR,99
18,HIHAT,10
19,HORN,658
20,MANDOLIN,69
21,MARIMBA,337
22,OBOE,602
23,SAWTOOTHWAVE,179
24,SAXOPHONE,654
25,SINEWAVE,182
26,SOPSAX,117
27,SQUAREWAVE,179
28,TENORTROMBONE,61
29,TRIANGLEWAVE,178
30,TROMBONE,747
31,TRUMPET,562
32,TUBA,943
33,VIBRAPHONE,305
34,VIOLA,1029
35,VIOLIN,708
36,WHITENOISE,183
37,XYLOPHONE,163
