Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,120
2,BANJO,64
3,BASS,943
4,BASSCLARINET,937
5,BASSFLUTE,69
6,BASSOON,721
7,BASSTROMBONE,47
8,BBCLARINET,84
9,BELLS,153
10,CELLO,976
11,CLARINET,758
12,CONTRABASSOON,636
13,CROTALE,44
14,EBCLARINET,67
15,ENGLISHHORN,1222
16,FLUTE,925
17,GUITAR,91
18,HIHAT,7
19,HORN,668
20,MANDOLIN,74
21,MARIMBA,326
22,OBOE,599
23,SAWTOOTHWAVE,185
24,SAXOPHONE,649
25,SINEWAVE,184
26,SOPSAX,114
27,SQUAREWAVE,176
28,TENORTROMBONE,59
29,TRIANGLEWAVE,181
30,TROMBONE,746
31,TRUMPET,570
32,TUBA,957
33,VIBRAPHONE,307
34,VIOLA,1063
35,VIOLIN,710
36,WHITENOISE,180
37,XYLOPHONE,162
