Target Int,Target Str,Counts
0,ALTOFLUTE,60
1,ALTOSAX,118
2,BANJO,71
3,BASS,959
4,BASSCLARINET,937
5,BASSFLUTE,69
6,BASSOON,710
7,BASSTROMBONE,51
8,BBCLARINET,84
9,BELLS,153
10,CELLO,969
11,CLARINET,764
12,CONTRABASSOON,639
13,CROTALE,45
14,EBCLARINET,74
15,ENGLISHHORN,1237
16,FLUTE,932
17,GUITAR,95
18,HIHAT,9
19,HORN,665
20,MANDOLIN,69
21,MARIMBA,331
22,OBOE,591
23,SAWTOOTHWAVE,179
24,SAXOPHONE,671
25,SINEWAVE,173
26,SOPSAX,112
27,SQUAREWAVE,178
28,TENORTROMBONE,60
29,TRIANGLEWAVE,185
30,TROMBONE,741
31,TRUMPET,568
32,TUBA,938
33,VIBRAPHONE,287
34,VIOLA,1056
35,VIOLIN,715
36,WHITENOISE,183
37,XYLOPHONE,161
