Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,112
2,BANJO,67
3,BASS,941
4,BASSCLARINET,944
5,BASSFLUTE,67
6,BASSOON,716
7,BASSTROMBONE,49
8,BBCLARINET,83
9,BELLS,150
10,CELLO,970
11,CLARINET,749
12,CONTRABASSOON,640
13,CROTALE,44
14,EBCLARINET,70
15,ENGLISHHORN,1234
16,FLUTE,946
17,GUITAR,101
18,HIHAT,9
19,HORN,656
20,MANDOLIN,71
21,MARIMBA,324
22,OBOE,597
23,SAWTOOTHWAVE,176
24,SAXOPHONE,661
25,SINEWAVE,180
26,SOPSAX,113
27,SQUAREWAVE,182
28,TENORTROMBONE,58
29,TRIANGLEWAVE,180
30,TROMBONE,760
31,TRUMPET,568
32,TUBA,951
33,VIBRAPHONE,304
34,VIOLA,1046
35,VIOLIN,710
36,WHITENOISE,189
37,XYLOPHONE,158
