Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,115
2,BANJO,66
3,BASS,948
4,BASSCLARINET,934
5,BASSFLUTE,66
6,BASSOON,731
7,BASSTROMBONE,48
8,BBCLARINET,83
9,BELLS,144
10,CELLO,977
11,CLARINET,763
12,CONTRABASSOON,641
13,CROTALE,48
14,EBCLARINET,67
15,ENGLISHHORN,1255
16,FLUTE,931
17,GUITAR,95
18,HIHAT,10
19,HORN,662
20,MANDOLIN,73
21,MARIMBA,336
22,OBOE,592
23,SAWTOOTHWAVE,176
24,SAXOPHONE,649
25,SINEWAVE,179
26,SOPSAX,114
27,SQUAREWAVE,186
28,TENORTROMBONE,58
29,TRIANGLEWAVE,183
30,TROMBONE,746
31,TRUMPET,550
32,TUBA,929
33,VIBRAPHONE,304
34,VIOLA,1069
35,VIOLIN,705
36,WHITENOISE,180
37,XYLOPHONE,162
