Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,116
2,BANJO,65
3,BASS,957
4,BASSCLARINET,932
5,BASSFLUTE,72
6,BASSOON,714
7,BASSTROMBONE,47
8,BBCLARINET,84
9,BELLS,149
10,CELLO,970
11,CLARINET,773
12,CONTRABASSOON,629
13,CROTALE,43
14,EBCLARINET,74
15,ENGLISHHORN,1258
16,FLUTE,920
17,GUITAR,96
18,HIHAT,10
19,HORN,669
20,MANDOLIN,76
21,MARIMBA,325
22,OBOE,609
23,SAWTOOTHWAVE,179
24,SAXOPHONE,655
25,SINEWAVE,181
26,SOPSAX,110
27,SQUAREWAVE,178
28,TENORTROMBONE,59
29,TRIANGLEWAVE,178
30,TROMBONE,744
31,TRUMPET,573
32,TUBA,942
33,VIBRAPHONE,296
34,VIOLA,1057
35,VIOLIN,703
36,WHITENOISE,176
37,XYLOPHONE,155
