Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,118
2,BANJO,69
3,BASS,970
4,BASSCLARINET,936
5,BASSFLUTE,69
6,BASSOON,729
7,BASSTROMBONE,47
8,BBCLARINET,83
9,BELLS,139
10,CELLO,965
11,CLARINET,752
12,CONTRABASSOON,630
13,CROTALE,48
14,EBCLARINET,69
15,ENGLISHHORN,1248
16,FLUTE,929
17,GUITAR,90
18,HIHAT,9
19,HORN,684
20,MANDOLIN,76
21,MARIMBA,327
22,OBOE,585
23,SAWTOOTHWAVE,180
24,SAXOPHONE,668
25,SINEWAVE,182
26,SOPSAX,116
27,SQUAREWAVE,182
28,TENORTROMBONE,58
29,TRIANGLEWAVE,178
30,TROMBONE,748
31,TRUMPET,570
32,TUBA,930
33,VIBRAPHONE,305
34,VIOLA,1047
35,VIOLIN,704
36,WHITENOISE,178
37,XYLOPHONE,157
