Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,115
2,BANJO,64
3,BASS,931
4,BASSCLARINET,926
5,BASSFLUTE,66
6,BASSOON,694
7,BASSTROMBONE,45
8,BBCLARINET,86
9,BELLS,149
10,CELLO,981
11,CLARINET,760
12,CONTRABASSOON,650
13,CROTALE,46
14,EBCLARINET,74
15,ENGLISHHORN,1258
16,FLUTE,920
17,GUITAR,93
18,HIHAT,9
19,HORN,673
20,MANDOLIN,69
21,MARIMBA,331
22,OBOE,598
23,SAWTOOTHWAVE,183
24,SAXOPHONE,662
25,SINEWAVE,181
26,SOPSAX,121
27,SQUAREWAVE,185
28,TENORTROMBONE,61
29,TRIANGLEWAVE,176
30,TROMBONE,738
31,TRUMPET,560
32,TUBA,943
33,VIBRAPHONE,303
34,VIOLA,1068
35,VIOLIN,720
36,WHITENOISE,181
37,XYLOPHONE,152
