Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,119
2,BANJO,64
3,BASS,972
4,BASSCLARINET,922
5,BASSFLUTE,70
6,BASSOON,721
7,BASSTROMBONE,51
8,BBCLARINET,78
9,BELLS,147
10,CELLO,979
11,CLARINET,770
12,CONTRABASSOON,629
13,CROTALE,47
14,EBCLARINET,73
15,ENGLISHHORN,1247
16,FLUTE,925
17,GUITAR,95
18,HIHAT,8
19,HORN,659
20,MANDOLIN,72
21,MARIMBA,313
22,OBOE,606
23,SAWTOOTHWAVE,182
24,SAXOPHONE,664
25,SINEWAVE,181
26,SOPSAX,119
27,SQUAREWAVE,173
28,TENORTROMBONE,63
29,TRIANGLEWAVE,178
30,TROMBONE,761
31,TRUMPET,558
32,TUBA,940
33,VIBRAPHONE,293
34,VIOLA,1058
35,VIOLIN,703
36,WHITENOISE,174
37,XYLOPHONE,158
