CLF,Accuracy,Precision,Recall,Loss
XValGammaCLF0@2020.11.17.19.24.10.572121@PREDICTIONS.csv,0.9107954545454545,0.8974316127176339,0.9255970413132852,1.4378074407577515
XValGammaCLF1@2020.11.17.20.16.08.939390@PREDICTIONS.csv,0.875,0.7911499120868821,0.8297296063192379,2.0147619247436523
XValGammaCLF2@2020.11.17.21.08.18.998713@PREDICTIONS.csv,0.9130681818181818,0.9053480515472194,0.9179289737069676,1.4011754989624023
XValGammaCLF3@2020.11.17.21.57.28.429256@PREDICTIONS.csv,0.9221590909090909,0.8964127339620271,0.88590880378328,1.2546472549438477
XValGammaCLF4@2020.11.17.22.49.43.253913@PREDICTIONS.csv,0.8897727272727273,0.8188045388904882,0.8503757476128909,1.77665376663208
XValGammaCLF5@2020.11.17.23.40.31.031702@PREDICTIONS.csv,0.8965909090909091,0.8520183596109128,0.8918546058292627,1.6667574644088745
XValGammaCLF6@2020.11.18.00.29.19.665947@PREDICTIONS.csv,0.86875,0.8404836824089362,0.844862983867135,2.1155002117156982
XValGammaCLF7@2020.11.18.01.17.58.279270@PREDICTIONS.csv,0.8710227272727272,0.846755739638576,0.8742747536727477,2.0788681507110596
XValGammaCLF8@2020.11.18.02.07.38.869036@PREDICTIONS.csv,0.89375,0.8539593316782622,0.8509500367824329,1.7125476598739624
XValGammaCLF9@2020.11.18.02.57.30.481706@PREDICTIONS.csv,0.8948266060261513,0.8772291632641122,0.9022796010558233,1.6951948404312134
