CLF,Accuracy,Precision,Recall
XValGammaCLF0@2020.11.17.19.24.10.572121@PREDICTIONS.csv,0.023968301435406698,0.8974316127176342,0.9255970413132852
XValGammaCLF1@2020.11.17.20.16.08.939390@PREDICTIONS.csv,0.023026315789473683,0.7911499120868821,0.8297296063192379
XValGammaCLF2@2020.11.17.21.08.18.998713@PREDICTIONS.csv,0.02402811004784689,0.9053480515472194,0.9179289737069674
XValGammaCLF3@2020.11.17.21.57.28.429256@PREDICTIONS.csv,0.024267344497607656,0.8964127339620273,0.8859088037832797
XValGammaCLF4@2020.11.17.22.49.43.253913@PREDICTIONS.csv,0.023415071770334927,0.8188045388904883,0.8503757476128909
XValGammaCLF5@2020.11.17.23.40.31.031702@PREDICTIONS.csv,0.0235944976076555,0.8520183596109128,0.8918546058292625
XValGammaCLF6@2020.11.18.00.29.19.665947@PREDICTIONS.csv,0.022861842105263156,0.8404836824089361,0.8448629838671348
XValGammaCLF7@2020.11.18.01.17.58.279270@PREDICTIONS.csv,0.02292165071770335,0.8467557396385758,0.8742747536727477
XValGammaCLF8@2020.11.18.02.07.38.869036@PREDICTIONS.csv,0.023519736842105263,0.853959331678262,0.8509500367824326
XValGammaCLF9@2020.11.18.02.57.30.481706@PREDICTIONS.csv,0.02354806857963556,0.8772291632641122,0.9022796010558233
