Fullpath,Target Int,Target Str
C:\Users\Landon\Documents\audioWAV1\Tuba.B2.L.wav,28,TUBA
C:\Users\Landon\Documents\audioWAV1\Tuba.D3.L.wav,28,TUBA
C:\Users\Landon\Documents\audioWAV1\Flute.vib.F4.L.wav,16,FLUTE
C:\Users\Landon\Documents\audioWAV1\TenorTrombone.Gb3.L.wav,25,TENORTROMBONE
C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulD.D6.R.wav,30,VIOLA
C:\Users\Landon\Documents\audioWAV1\EbClarinet.B5.L.wav,14,EBCLARINET
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulD.G2.L.wav,3,BASS
C:\Users\Landon\Documents\audioWAV1\EbClarinet.Db6.L.wav,14,EBCLARINET
C:\Users\Landon\Documents\audioWAV1\SopSax.nonvib.Db4.L.wav,24,SOPSAX
C:\Users\Landon\Documents\audioWAV1\TenorTrombone.G2.L.wav,25,TENORTROMBONE
C:\Users\Landon\Documents\audioWAV1\Trumpet.vib.Eb4.L.wav,27,TRUMPET
C:\Users\Landon\Documents\audioWAV1\SopSax.nonvib.G5.L.wav,24,SOPSAX
C:\Users\Landon\Documents\audioWAV1\Bass.arco.sulA.Ab3.R.wav,3,BASS
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.D5.R.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Xylophone.rosewood.Eb7.R.wav,32,XYLOPHONE
C:\Users\Landon\Documents\audioWAV1\Trumpet.novib.Gb4.R.wav,27,TRUMPET
C:\Users\Landon\Documents\audioWAV1\Horn.D3.R.wav,19,HORN
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.Bb2.L.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\AltoSax.NoVib.C4.L.wav,1,ALTOSAX
C:\Users\Landon\Documents\audioWAV1\bells.plastic.G6.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\Vibraphone.dampen.E4.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\bells.plastic.C5.L.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\hihat.footsplash.R.wav,18,HIHAT
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Eb7.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.E6.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Cello.arco.sulC.B2.R.wav,10,CELLO
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.B4.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.Db6.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.Gb2.R.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\bells.plastic.Db6.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.A4.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.Bb6.L.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\Vibraphone.dampen.A3.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Flute.nonvib.B3.R.wav,16,FLUTE
C:\Users\Landon\Documents\audioWAV1\Vibraphone.shortsustain.Gb3.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\Flute.vib.A6.R.wav,16,FLUTE
C:\Users\Landon\Documents\audioWAV1\Marimba.rubber.C5.L.wav,21,MARIMBA
C:\Users\Landon\Documents\audioWAV1\bells.brass.Db7.L.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\BbClarinet.D6.R.wav,8,BBCLARINET
C:\Users\Landon\Documents\audioWAV1\BassClarinet.A3.R.wav,4,BASSCLARINET
C:\Users\Landon\Documents\audioWAV1\Xylophone.hardrubber.C7.L.wav,32,XYLOPHONE
C:\Users\Landon\Documents\audioWAV1\Vibraphone.bow.D6.L.wav,29,VIBRAPHONE
C:\Users\Landon\Documents\audioWAV1\BassTrombone.D1.R.wav,7,BASSTROMBONE
C:\Users\Landon\Documents\audioWAV1\bells.plastic.D8.R.wav,9,BELLS
C:\Users\Landon\Documents\audioWAV1\EbClarinet.Ab3.L.wav,14,EBCLARINET
