Target Int,Target Str,Counts
0,ALTOFLUTE,69
1,ALTOSAX,121
2,BANJO,66
3,BASS,951
4,BASSCLARINET,957
5,BASSFLUTE,66
6,BASSOON,728
7,BASSTROMBONE,50
8,BBCLARINET,81
9,BELLS,149
10,CELLO,977
11,CLARINET,752
12,CONTRABASSOON,642
13,CROTALE,45
14,EBCLARINET,63
15,ENGLISHHORN,1240
16,FLUTE,927
17,GUITAR,100
18,HIHAT,10
19,HORN,672
20,MANDOLIN,73
21,MARIMBA,327
22,OBOE,610
23,SAWTOOTHWAVE,187
24,SAXOPHONE,648
25,SINEWAVE,179
26,SOPSAX,114
27,SQUAREWAVE,183
28,TENORTROMBONE,59
29,TRIANGLEWAVE,179
30,TROMBONE,756
31,TRUMPET,553
32,TUBA,923
33,VIBRAPHONE,293
34,VIOLA,1043
35,VIOLIN,709
36,WHITENOISE,181
37,XYLOPHONE,156
