Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,114
2,BANJO,68
3,BASS,957
4,BASSCLARINET,934
5,BASSFLUTE,66
6,BASSOON,724
7,BASSTROMBONE,50
8,BBCLARINET,86
9,BELLS,142
10,CELLO,977
11,CLARINET,752
12,CONTRABASSOON,648
13,CROTALE,44
14,EBCLARINET,72
15,ENGLISHHORN,1246
16,FLUTE,914
17,GUITAR,101
18,HIHAT,8
19,HORN,668
20,MANDOLIN,71
21,MARIMBA,336
22,OBOE,584
23,SAWTOOTHWAVE,178
24,SAXOPHONE,670
25,SINEWAVE,178
26,SOPSAX,117
27,SQUAREWAVE,183
28,TENORTROMBONE,58
29,TRIANGLEWAVE,179
30,TROMBONE,751
31,TRUMPET,560
32,TUBA,934
33,VIBRAPHONE,304
34,VIOLA,1057
35,VIOLIN,701
36,WHITENOISE,181
37,XYLOPHONE,161
