Target Int,Target Str,Counts
0,ALTOFLUTE,68
1,ALTOSAX,112
2,BANJO,69
3,BASS,956
4,BASSCLARINET,938
5,BASSFLUTE,64
6,BASSOON,717
7,BASSTROMBONE,49
8,BBCLARINET,84
9,BELLS,149
10,CELLO,975
11,CLARINET,754
12,CONTRABASSOON,642
13,CROTALE,46
14,EBCLARINET,73
15,ENGLISHHORN,1235
16,FLUTE,924
17,GUITAR,100
18,HIHAT,9
19,HORN,658
20,MANDOLIN,71
21,MARIMBA,327
22,OBOE,595
23,SAWTOOTHWAVE,185
24,SAXOPHONE,659
25,SINEWAVE,189
26,SOPSAX,112
27,SQUAREWAVE,182
28,TENORTROMBONE,59
29,TRIANGLEWAVE,179
30,TROMBONE,740
31,TRUMPET,568
32,TUBA,949
33,VIBRAPHONE,294
34,VIOLA,1060
35,VIOLIN,704
36,WHITENOISE,183
37,XYLOPHONE,161
