Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,117
2,BANJO,68
3,BASS,968
4,BASSCLARINET,945
5,BASSFLUTE,72
6,BASSOON,723
7,BASSTROMBONE,50
8,BBCLARINET,81
9,BELLS,149
10,CELLO,974
11,CLARINET,763
12,CONTRABASSOON,632
13,CROTALE,46
14,EBCLARINET,70
15,ENGLISHHORN,1242
16,FLUTE,921
17,GUITAR,95
18,HIHAT,9
19,HORN,681
20,MANDOLIN,72
21,MARIMBA,320
22,OBOE,599
23,SAWTOOTHWAVE,178
24,SAXOPHONE,651
25,SINEWAVE,175
26,SOPSAX,111
27,SQUAREWAVE,179
28,TENORTROMBONE,62
29,TRIANGLEWAVE,180
30,TROMBONE,748
31,TRUMPET,566
32,TUBA,930
33,VIBRAPHONE,296
34,VIOLA,1062
35,VIOLIN,706
36,WHITENOISE,175
37,XYLOPHONE,156
