Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,114
2,BANJO,69
3,BASS,957
4,BASSCLARINET,927
5,BASSFLUTE,72
6,BASSOON,718
7,BASSTROMBONE,49
8,BBCLARINET,82
9,BELLS,146
10,CELLO,976
11,CLARINET,760
12,CONTRABASSOON,646
13,CROTALE,46
14,EBCLARINET,74
15,ENGLISHHORN,1251
16,FLUTE,913
17,GUITAR,97
18,HIHAT,8
19,HORN,673
20,MANDOLIN,73
21,MARIMBA,325
22,OBOE,593
23,SAWTOOTHWAVE,169
24,SAXOPHONE,663
25,SINEWAVE,177
26,SOPSAX,111
27,SQUAREWAVE,182
28,TENORTROMBONE,60
29,TRIANGLEWAVE,174
30,TROMBONE,749
31,TRUMPET,569
32,TUBA,935
33,VIBRAPHONE,310
34,VIOLA,1056
35,VIOLIN,714
36,WHITENOISE,176
37,XYLOPHONE,160
