Target Int,Target Str,Counts
0,ALTOFLUTE,69
1,ALTOSAX,120
2,BANJO,64
3,BASS,951
4,BASSCLARINET,929
5,BASSFLUTE,66
6,BASSOON,713
7,BASSTROMBONE,49
8,BBCLARINET,80
9,BELLS,148
10,CELLO,961
11,CLARINET,752
12,CONTRABASSOON,635
13,CROTALE,46
14,EBCLARINET,69
15,ENGLISHHORN,1249
16,FLUTE,938
17,GUITAR,101
18,HIHAT,10
19,HORN,662
20,MANDOLIN,77
21,MARIMBA,323
22,OBOE,598
23,SAWTOOTHWAVE,181
24,SAXOPHONE,653
25,SINEWAVE,181
26,SOPSAX,120
27,SQUAREWAVE,179
28,TENORTROMBONE,59
29,TRIANGLEWAVE,178
30,TROMBONE,751
31,TRUMPET,571
32,TUBA,953
33,VIBRAPHONE,296
34,VIOLA,1052
35,VIOLIN,713
36,WHITENOISE,176
37,XYLOPHONE,166
