Target Int,Target Str,Counts
0,ALTOFLUTE,57
1,ALTOSAX,113
2,BANJO,65
3,BASS,963
4,BASSCLARINET,930
5,BASSFLUTE,62
6,BASSOON,724
7,BASSTROMBONE,52
8,BBCLARINET,86
9,BELLS,150
10,CELLO,979
11,CLARINET,769
12,CONTRABASSOON,638
13,CROTALE,43
14,EBCLARINET,74
15,ENGLISHHORN,1232
16,FLUTE,916
17,GUITAR,93
18,HIHAT,9
19,HORN,658
20,MANDOLIN,71
21,MARIMBA,324
22,OBOE,612
23,SAWTOOTHWAVE,183
24,SAXOPHONE,651
25,SINEWAVE,180
26,SOPSAX,115
27,SQUAREWAVE,179
28,TENORTROMBONE,60
29,TRIANGLEWAVE,178
30,TROMBONE,747
31,TRUMPET,555
32,TUBA,953
33,VIBRAPHONE,297
34,VIOLA,1059
35,VIOLIN,719
36,WHITENOISE,181
37,XYLOPHONE,162
