Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,112
2,BANJO,62
3,BASS,953
4,BASSCLARINET,927
5,BASSFLUTE,67
6,BASSOON,707
7,BASSTROMBONE,46
8,BBCLARINET,82
9,BELLS,143
10,CELLO,981
11,CLARINET,770
12,CONTRABASSOON,656
13,CROTALE,46
14,EBCLARINET,68
15,ENGLISHHORN,1228
16,FLUTE,937
17,GUITAR,99
18,HIHAT,8
19,HORN,666
20,MANDOLIN,70
21,MARIMBA,331
22,OBOE,605
23,SAWTOOTHWAVE,187
24,SAXOPHONE,656
25,SINEWAVE,181
26,SOPSAX,111
27,SQUAREWAVE,187
28,TENORTROMBONE,56
29,TRIANGLEWAVE,179
30,TROMBONE,761
31,TRUMPET,558
32,TUBA,923
33,VIBRAPHONE,300
34,VIOLA,1062
35,VIOLIN,717
36,WHITENOISE,184
37,XYLOPHONE,150
