Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,109
2,BANJO,68
3,BASS,940
4,BASSCLARINET,935
5,BASSFLUTE,72
6,BASSOON,717
7,BASSTROMBONE,50
8,BBCLARINET,81
9,BELLS,160
10,CELLO,983
11,CLARINET,756
12,CONTRABASSOON,635
13,CROTALE,47
14,EBCLARINET,69
15,ENGLISHHORN,1245
16,FLUTE,933
17,GUITAR,97
18,HIHAT,9
19,HORN,661
20,MANDOLIN,70
21,MARIMBA,332
22,OBOE,608
23,SAWTOOTHWAVE,175
24,SAXOPHONE,658
25,SINEWAVE,183
26,SOPSAX,116
27,SQUAREWAVE,179
28,TENORTROMBONE,60
29,TRIANGLEWAVE,182
30,TROMBONE,748
31,TRUMPET,555
32,TUBA,937
33,VIBRAPHONE,307
34,VIOLA,1049
35,VIOLIN,709
36,WHITENOISE,181
37,XYLOPHONE,158
