CLF,Accuracy,Precision,Recall,F1
XValAlphaCLF0@2020.11.25.01.42.29.519414@PREDICTIONS.csv,0.9929693408714029,0.8497626132943767,0.8534836432130711,0.8380079346197621
XValAlphaCLF1@2020.11.25.02.32.31.466283@PREDICTIONS.csv,0.9930866451131158,0.8570631144176354,0.8657373079235734,0.8540696875137495
XValAlphaCLF2@2020.11.25.03.21.58.340376@PREDICTIONS.csv,0.9941754440171716,0.8589360651180729,0.8542317564762485,0.8513198661592857
XValAlphaCLF3@2020.11.25.04.10.51.590186@PREDICTIONS.csv,0.9938832906460915,0.8870701009212769,0.9016061419593105,0.8820740221037706
XValAlphaCLF4@2020.11.25.05.07.28.681444@PREDICTIONS.csv,0.9929419558255693,0.884115922320895,0.902609597421012,0.8847751120787624
XValAlphaCLF5@2020.11.25.06.00.19.234005@PREDICTIONS.csv,0.9936483005487815,0.8529546604611444,0.8886122411623163,0.8583207511410845
XValAlphaCLF6@2020.11.25.06.50.18.658037@PREDICTIONS.csv,0.9943157987965594,0.8564256886577609,0.8426802340218063,0.8341399100877599
XValAlphaCLF7@2020.11.25.07.39.22.666320@PREDICTIONS.csv,0.9930574753041096,0.8690496692482581,0.8671713868821719,0.856152543812492
XValAlphaCLF8@2020.11.25.08.30.25.679766@PREDICTIONS.csv,0.9929797109632701,0.8433229390565697,0.86659932885649,0.8466378167293268
XValAlphaCLF9@2020.11.25.09.18.29.105974@PREDICTIONS.csv,0.9927999808735682,0.8426356908706853,0.877821096409475,0.8324960073859308
