CLF,Accuracy,Precision,Recall,F1
XValBetaMLP0@2020.12.01.01.33.19.350172@PREDICTIONS.csv,0.9829449984468028,0.7474576680817406,0.7441722283533923,0.735944855100119
XValBetaMLP1@2020.12.01.02.10.44.316134@PREDICTIONS.csv,0.9813363758438366,0.7269005948211584,0.777503971033811,0.7330209007169458
XValBetaMLP2@2020.12.01.02.51.37.967034@PREDICTIONS.csv,0.9793759246073103,0.6996971582795191,0.6904089491170092,0.6865499578261344
XValBetaMLP3@2020.12.01.03.27.51.301612@PREDICTIONS.csv,0.9805972581337101,0.696078265773594,0.7185226041352972,0.6921005457678001
XValBetaMLP4@2020.12.01.04.05.57.116687@PREDICTIONS.csv,0.9787793431399849,0.6669769575663589,0.7249778437002543,0.6733013691398543
XValBetaMLP5@2020.12.01.04.41.20.227807@PREDICTIONS.csv,0.9801396334591261,0.7201732168244789,0.7278542788205743,0.7002778748714162
XValBetaMLP6@2020.12.01.05.17.45.049621@PREDICTIONS.csv,0.9811285907093079,0.6877774369260464,0.7607092987677898,0.6963911675313728
XValBetaMLP7@2020.12.01.05.55.11.994525@PREDICTIONS.csv,0.9806796810801799,0.689418377832799,0.695131500294513,0.6770654321056794
XValBetaMLP8@2020.12.01.06.31.23.929229@PREDICTIONS.csv,0.9789610353889644,0.7146975541867826,0.7524568791640437,0.7199934250236543
XValBetaMLP9@2020.12.01.07.08.14.075445@PREDICTIONS.csv,0.9809847483215972,0.6916360520840829,0.7376186219426296,0.693732956999669
