Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,116
2,BANJO,68
3,BASS,946
4,BASSCLARINET,937
5,BASSFLUTE,66
6,BASSOON,719
7,BASSTROMBONE,47
8,BBCLARINET,842
9,BELLS,148
10,CELLO,981
11,CONTRABASSOON,633
12,CROTALE,45
13,EBCLARINET,74
14,ENGLISHHORN,1251
15,FLUTE,929
16,GUITAR,92
17,HIHAT,8
18,HORN,663
19,MANDOLIN,71
20,MARIMBA,333
21,OBOE,596
22,SAWTOOTHWAVE,183
23,SAXOPHONE,646
24,SINEWAVE,183
25,SOPSAX,119
26,SQUAREWAVE,175
27,TENORTROMBONE,57
28,TRIANGLEWAVE,185
29,TROMBONE,757
30,TRUMPET,562
31,TUBA,931
32,VIBRAPHONE,307
33,VIOLA,1050
34,VIOLIN,719
35,WHITENOISE,173
36,XYLOPHONE,160
