Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,114
2,BANJO,65
3,BASS,962
4,BASSCLARINET,939
5,BASSFLUTE,72
6,BASSOON,723
7,BASSTROMBONE,52
8,BBCLARINET,841
9,BELLS,149
10,CELLO,977
11,CONTRABASSOON,643
12,CROTALE,45
13,EBCLARINET,74
14,ENGLISHHORN,1237
15,FLUTE,921
16,GUITAR,91
17,HIHAT,8
18,HORN,665
19,MANDOLIN,72
20,MARIMBA,334
21,OBOE,597
22,SAWTOOTHWAVE,181
23,SAXOPHONE,638
24,SINEWAVE,184
25,SOPSAX,113
26,SQUAREWAVE,183
27,TENORTROMBONE,62
28,TRIANGLEWAVE,174
29,TROMBONE,752
30,TRUMPET,556
31,TUBA,938
32,VIBRAPHONE,301
33,VIOLA,1055
34,VIOLIN,721
35,WHITENOISE,182
36,XYLOPHONE,154
