Target Int,Target Str,Counts
0,ALTOFLUTE,66
1,ALTOSAX,117
2,BANJO,70
3,BASS,963
4,BASSCLARINET,933
5,BASSFLUTE,69
6,BASSOON,723
7,BASSTROMBONE,48
8,BBCLARINET,842
9,BELLS,150
10,CELLO,975
11,CONTRABASSOON,634
12,CROTALE,46
13,EBCLARINET,69
14,ENGLISHHORN,1245
15,FLUTE,940
16,GUITAR,93
17,HIHAT,10
18,HORN,668
19,MANDOLIN,75
20,MARIMBA,320
21,OBOE,592
22,SAWTOOTHWAVE,177
23,SAXOPHONE,666
24,SINEWAVE,186
25,SOPSAX,113
26,SQUAREWAVE,184
27,TENORTROMBONE,55
28,TRIANGLEWAVE,188
29,TROMBONE,739
30,TRUMPET,569
31,TUBA,924
32,VIBRAPHONE,297
33,VIOLA,1058
34,VIOLIN,696
35,WHITENOISE,179
36,XYLOPHONE,160
