Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,113
2,BANJO,66
3,BASS,944
4,BASSCLARINET,920
5,BASSFLUTE,69
6,BASSOON,723
7,BASSTROMBONE,47
8,BBCLARINET,853
9,BELLS,144
10,CELLO,980
11,CONTRABASSOON,650
12,CROTALE,45
13,EBCLARINET,68
14,ENGLISHHORN,1223
15,FLUTE,937
16,GUITAR,98
17,HIHAT,8
18,HORN,663
19,MANDOLIN,74
20,MARIMBA,325
21,OBOE,620
22,SAWTOOTHWAVE,185
23,SAXOPHONE,668
24,SINEWAVE,177
25,SOPSAX,118
26,SQUAREWAVE,183
27,TENORTROMBONE,61
28,TRIANGLEWAVE,172
29,TROMBONE,737
30,TRUMPET,565
31,TUBA,937
32,VIBRAPHONE,300
33,VIOLA,1056
34,VIOLIN,710
35,WHITENOISE,176
36,XYLOPHONE,162
