Target Int,Target Str,Counts
0,ALTOFLUTE,61
1,ALTOSAX,113
2,BANJO,65
3,BASS,956
4,BASSCLARINET,937
5,BASSFLUTE,68
6,BASSOON,715
7,BASSTROMBONE,52
8,BBCLARINET,850
9,BELLS,154
10,CELLO,958
11,CONTRABASSOON,640
12,CROTALE,47
13,EBCLARINET,72
14,ENGLISHHORN,1237
15,FLUTE,920
16,GUITAR,95
17,HIHAT,9
18,HORN,666
19,MANDOLIN,70
20,MARIMBA,323
21,OBOE,592
22,SAWTOOTHWAVE,170
23,SAXOPHONE,657
24,SINEWAVE,180
25,SOPSAX,120
26,SQUAREWAVE,180
27,TENORTROMBONE,56
28,TRIANGLEWAVE,181
29,TROMBONE,747
30,TRUMPET,559
31,TUBA,967
32,VIBRAPHONE,305
33,VIOLA,1065
34,VIOLIN,711
35,WHITENOISE,178
36,XYLOPHONE,163
