Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,119
2,BANJO,69
3,BASS,951
4,BASSCLARINET,943
5,BASSFLUTE,70
6,BASSOON,711
7,BASSTROMBONE,44
8,BBCLARINET,862
9,BELLS,142
10,CELLO,964
11,CONTRABASSOON,628
12,CROTALE,47
13,EBCLARINET,65
14,ENGLISHHORN,1240
15,FLUTE,907
16,GUITAR,100
17,HIHAT,9
18,HORN,670
19,MANDOLIN,72
20,MARIMBA,326
21,OBOE,601
22,SAWTOOTHWAVE,179
23,SAXOPHONE,657
24,SINEWAVE,171
25,SOPSAX,116
26,SQUAREWAVE,178
27,TENORTROMBONE,62
28,TRIANGLEWAVE,177
29,TROMBONE,761
30,TRUMPET,569
31,TUBA,943
32,VIBRAPHONE,304
33,VIOLA,1051
34,VIOLIN,716
35,WHITENOISE,182
36,XYLOPHONE,166
