Target Int,Target Str,Counts
0,ALTOFLUTE,66
1,ALTOSAX,117
2,BANJO,65
3,BASS,961
4,BASSCLARINET,926
5,BASSFLUTE,63
6,BASSOON,724
7,BASSTROMBONE,47
8,BBCLARINET,832
9,BELLS,148
10,CELLO,961
11,CONTRABASSOON,642
12,CROTALE,45
13,EBCLARINET,72
14,ENGLISHHORN,1238
15,FLUTE,938
16,GUITAR,96
17,HIHAT,10
18,HORN,673
19,MANDOLIN,73
20,MARIMBA,328
21,OBOE,605
22,SAWTOOTHWAVE,179
23,SAXOPHONE,670
24,SINEWAVE,175
25,SOPSAX,111
26,SQUAREWAVE,174
27,TENORTROMBONE,62
28,TRIANGLEWAVE,182
29,TROMBONE,753
30,TRUMPET,574
31,TUBA,946
32,VIBRAPHONE,301
33,VIOLA,1050
34,VIOLIN,700
35,WHITENOISE,183
36,XYLOPHONE,149
