Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,115
2,BANJO,65
3,BASS,955
4,BASSCLARINET,930
5,BASSFLUTE,70
6,BASSOON,723
7,BASSTROMBONE,49
8,BBCLARINET,847
9,BELLS,149
10,CELLO,972
11,CONTRABASSOON,653
12,CROTALE,41
13,EBCLARINET,65
14,ENGLISHHORN,1254
15,FLUTE,925
16,GUITAR,93
17,HIHAT,9
18,HORN,658
19,MANDOLIN,67
20,MARIMBA,332
21,OBOE,603
22,SAWTOOTHWAVE,177
23,SAXOPHONE,668
24,SINEWAVE,179
25,SOPSAX,114
26,SQUAREWAVE,180
27,TENORTROMBONE,60
28,TRIANGLEWAVE,187
29,TROMBONE,742
30,TRUMPET,563
31,TUBA,942
32,VIBRAPHONE,302
33,VIOLA,1041
34,VIOLIN,701
35,WHITENOISE,183
36,XYLOPHONE,158
