Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,113
2,BANJO,65
3,BASS,956
4,BASSCLARINET,929
5,BASSFLUTE,64
6,BASSOON,713
7,BASSTROMBONE,51
8,BBCLARINET,824
9,BELLS,143
10,CELLO,979
11,CONTRABASSOON,635
12,CROTALE,47
13,EBCLARINET,74
14,ENGLISHHORN,1265
15,FLUTE,944
16,GUITAR,94
17,HIHAT,9
18,HORN,661
19,MANDOLIN,72
20,MARIMBA,328
21,OBOE,588
22,SAWTOOTHWAVE,182
23,SAXOPHONE,654
24,SINEWAVE,182
25,SOPSAX,109
26,SQUAREWAVE,185
27,TENORTROMBONE,61
28,TRIANGLEWAVE,179
29,TROMBONE,740
30,TRUMPET,555
31,TUBA,953
32,VIBRAPHONE,292
33,VIOLA,1067
34,VIOLIN,717
35,WHITENOISE,184
36,XYLOPHONE,160
