,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001110101Z.wav,,19
1,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00110111X.wav,,19
2,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010110111Z.wav,,16
3,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C01011011Y.wav,,10
4,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000001111Z.wav,,1
5,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010011111X.wav,,16
6,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C01111111Y.wav,,19
7,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000001011Z.wav,,19
8,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101111011X.wav,,16
9,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00100101Y.wav,,28
10,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000010011X.wav,,16
11,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000110101Y.wav,,10
12,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00111111Z.wav,,19
13,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001111111Y.wav,,16
14,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00111Z.wav,,16
15,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0111Z.wav,,28
16,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001110011Y.wav,,12
17,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011Z.wav,,16
18,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011101111Z.wav,,16
19,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001001011X.wav,,16
20,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C011111Z.wav,,16
21,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000000111Z.wav,,19
22,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000011001Y.wav,,4
23,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001100111X.wav,,19
24,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101111111Z.wav,,16
25,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00010101X.wav,,32
26,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001111101Z.wav,,16
27,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000011011Z.wav,,16
28,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001001111Y.wav,,16
29,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001101101Y.wav,,16
30,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000010101X.wav,,24
31,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00111101Z.wav,,19
32,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000111111Y.wav,,19
33,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001111011X.wav,,19
34,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00Y.wav,,11
35,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011101101Y.wav,,16
36,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0111Y.wav,,10
37,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001101011X.wav,,19
38,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001011011Y.wav,,10
39,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010110011Y.wav,,19
40,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00000011X.wav,,19
41,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000111111Z.wav,,19
42,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001011001X.wav,,4
43,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001010111X.wav,,19
44,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001010101Y.wav,,10
45,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001010011Y.wav,,19
46,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001101001X.wav,,16
47,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000010001Y.wav,,4
48,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000100101Y.wav,,12
49,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000010011Y.wav,,4
50,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101010111Z.wav,,16
51,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C01101111X.wav,,19
52,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001111011Z.wav,,19
53,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000110011Z.wav,,19
54,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010010011X.wav,,19
55,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001000111Y.wav,,4
56,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000011101X.wav,,16
57,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C01010111X.wav,,32
58,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101111Y.wav,,10
59,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001011101X.wav,,16
60,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001111101Z.wav,,16
61,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0101010111X.wav,,19
62,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C000011111Z.wav,,19
63,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000000011Y.wav,,10
64,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010101011X.wav,,19
65,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000010011Y.wav,,12
66,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C00001111Y.wav,,28
67,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010101101X.wav,,19
68,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0010010111Y.wav,,4
69,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0000101101Z.wav,,16
70,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011001111Z.wav,,16
71,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0011101111X.wav,,4
72,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C001101X.wav,,19
73,C:\Users\Landon\Documents\audioChaoticSynthesizerWAV\PER2TO10\C0001001Z.wav,,19
