,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioWAV2\GUITAR.B5.verylong.forte.harmonics.wav,17,17
1,C:\Users\Landon\Documents\audioWAV2\FLUTE.Cs7.15.mezzoforte.normal.wav,16,16
2,C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulC.A3.L.wav,30,10
3,C:\Users\Landon\Documents\audioWAV2\TROMBONE.As3.phrase.mezzoforte.legato.wav,26,26
4,C:\Users\Landon\Documents\audioWAV2\CLARINET.Fs3.05.forte.normal.wav,11,11
5,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.As2.long.piano.mute.wav,19,19
6,C:\Users\Landon\Documents\audioWAV2\CLARINET.B6.15.forte.normal.wav,11,11
7,C:\Users\Landon\Documents\audioWAV2\CELLO.Ds3.025.fortissimo.arconormal.wav,10,10
8,C:\Users\Landon\Documents\audioWAV2\FRENCHHORN.Ds3.verylong.crescdecresc.normal.wav,19,19
9,C:\Users\Landon\Documents\audioWAV1\AltoFlute.vib.C6.L.wav,0,5
10,C:\Users\Landon\Documents\audioWAV2\VIOLA.As3.1.mezzopiano.nonvibrato.wav,30,30
11,C:\Users\Landon\Documents\audioWAV1\Flute.vib.Db6.L.wav,16,16
12,C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.C4.1.fortissimo.normal.wav,4,23
13,C:\Users\Landon\Documents\audioWAV2\TRUMPET.E4.phrase.mezzoforte.staccatissimo.wav,27,27
14,C:\Users\Landon\Documents\audioWAV1\Viola.arco.sulC.Eb3.L.wav,30,30
15,C:\Users\Landon\Documents\audioWAV2\CLARINET.B5.15.piano.normal.wav,11,14
16,C:\Users\Landon\Documents\audioWAV1\Marimba.yarn.B2.R.wav,21,21
17,C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.F3.1.mezzoforte.normal.wav,15,15
18,C:\Users\Landon\Documents\audioWAV2\TROMBONE.D5.025.pianissimo.normal.wav,26,26
19,C:\Users\Landon\Documents\audioWAV1\Vibraphone.dampen.Db6.R.wav,29,29
20,C:\Users\Landon\Documents\audioWAV2\TUBA.Ds3.1.mezzoforte.normal.wav,28,28
21,C:\Users\Landon\Documents\audioWAV2\CELLO.Cs3.1.pianissimo.arconormal.wav,10,10
22,C:\Users\Landon\Documents\audioWAV2\FLUTE.Gs5.long.piano.normal.wav,16,16
23,C:\Users\Landon\Documents\audioWAV2\CORANGLAIS.B5.025.mezzoforte.normal.wav,15,15
24,C:\Users\Landon\Documents\audioWAV1\Flute.nonvib.A5.L.wav,16,22
25,C:\Users\Landon\Documents\audioWAV1\Violin.arco.sulG.D4.L.wav,31,31
26,C:\Users\Landon\Documents\audioWAV2\BASSCLARINET.Gs4.025.forte.normal.wav,4,4
27,C:\Users\Landon\Documents\audioWAV2\MANDOLIN.A6.verylong.piano.normal.wav,20,20
