,Epoch Num,Loss Score,Precision,Recall
0,0,3.436765194,1,0.00390625
1,1,2.761119366,0.527777791,0.07421875
0,0,3.121931553,0.275862068,0.03125
1,1,2.641293049,0.666666687,0.0390625
0,0,3.001086712,0.358974367,0.0546875
1,1,2.580858946,0.75,0.03515625
0,0,2.776449203,0.333333343,0.015625
1,1,2.45792079,0.578947365,0.04296875
0,0,2.445103884,0.636363626,0.08203125
1,1,2.045773506,0.829787254,0.15234375
0,0,2.312228918,0.579999983,0.11328125
1,1,1.963941097,0.75,0.1171875
0,0,2.529358149,0.324999988,0.05078125
1,1,2.129981995,0.720000029,0.0703125
0,0,2.260795355,0.571428597,0.109375
1,1,1.925977826,0.836734712,0.16015625
0,0,2.21330595,0.546666682,0.16015625
1,1,1.886698961,0.826086938,0.1484375
0,0,2.17895174,0.537313461,0.140625
1,1,1.828007698,0.761904776,0.1875
0,0,2.084004164,0.633333325,0.1484375
1,1,1.788696766,0.796610177,0.18359375
0,0,2.253115892,0.5,0.1484375
1,1,1.840924501,0.760869563,0.13671875
0,0,1.961249709,0.645161271,0.15625
1,1,1.6821419,0.808823526,0.21484375
0,0,2.123047113,0.575757563,0.1484375
1,1,1.671151161,0.775862098,0.17578125
0,0,2.009033203,0.611111104,0.171875
1,1,1.634855509,0.741935492,0.1796875
0,0,2.102992058,0.536231875,0.14453125
1,1,1.662409306,0.820512831,0.25
0,0,1.999118805,0.550000012,0.171875
1,1,1.533067703,0.875,0.21875
0,0,2.029578924,0.626506031,0.203125
1,1,1.561261654,0.818181813,0.2109375
0,0,1.656538486,0.737500012,0.23046875
1,1,1.354771495,0.865168512,0.30078125
0,0,1.845934033,0.636363626,0.24609375
1,1,1.501731873,0.831325293,0.26953125
0,0,1.684458971,0.68235296,0.2265625
1,1,1.310616732,0.865168512,0.30078125
0,0,1.668618083,0.647058845,0.2578125
1,1,1.324202061,0.816666663,0.3828125
0,0,1.806037188,0.702127635,0.2578125
1,1,1.499917269,0.8125,0.3046875
