,Filepath,Label,Prediction
0,C:\Users\Landon\Documents\audioWAV\Vibraphone.sustain.Db5.R.wav,21,21
1,C:\Users\Landon\Documents\audioWAV\Oboe.G5.L.wav,15,15
2,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Db3.L.wav,1,1
3,C:\Users\Landon\Documents\audioWAV\Flute.nonvib.E4.L.wav,11,11
4,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.C4.L.wav,17,17
5,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.C5.L.wav,14,14
6,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulD.Bb5.R.wav,22,22
7,C:\Users\Landon\Documents\audioWAV\Xylophone.hardrubber.B4.R.wav,24,24
8,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulC.G3.R.wav,9,9
9,C:\Users\Landon\Documents\audioWAV\Marimba.cord.A3.R.wav,14,14
10,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulA.G4.R.wav,9,9
11,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulG.C5.L.wav,23,23
12,C:\Users\Landon\Documents\audioWAV\Flute.nonvib.E5.L.wav,11,11
13,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.D4.R.wav,21,21
14,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.Db7.R.wav,24,24
15,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Gb2.L.wav,2,2
16,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Eb3.R.wav,14,14
17,C:\Users\Landon\Documents\audioWAV\Crotale.D7.L.wav,16,16
18,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Eb3.L.wav,14,14
19,C:\Users\Landon\Documents\audioWAV\TenorTrombone.B3.L.wav,18,18
20,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulE.B6.L.wav,23,23
21,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Bb4.R.wav,1,1
22,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulA.F6.R.wav,23,23
23,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.B5.R.wav,24,24
24,C:\Users\Landon\Documents\audioWAV\Bassoon.D5.L.wav,5,5
25,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Db3.L.wav,14,14
26,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.Ab4.R.wav,21,21
27,C:\Users\Landon\Documents\audioWAV\Tuba.A1.R.wav,20,20
28,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Eb6.R.wav,14,14
29,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulG.D5.L.wav,22,22
30,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.Db4.L.wav,9,9
31,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulA.A5.L.wav,9,15
32,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulA.A5.R.wav,23,22
33,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulA.Eb5.L.wav,23,22
34,C:\Users\Landon\Documents\audioWAV\Bassoon.C5.R.wav,5,5
35,C:\Users\Landon\Documents\audioWAV\TenorTrombone.Ab3.R.wav,18,18
36,C:\Users\Landon\Documents\audioWAV\SopSax.vib.Eb4.L.wav,17,17
37,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.C5.L.wav,0,0
38,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulA.G6.R.wav,22,22
39,C:\Users\Landon\Documents\audioWAV\Trumpet.vib.Db6.R.wav,19,19
40,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulC.F2.L.wav,9,9
41,C:\Users\Landon\Documents\audioWAV\BassTrombone.E2.R.wav,6,18
42,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulG.Ab3.L.wav,2,2
43,C:\Users\Landon\Documents\audioWAV\SopSax.vib.Gb5.R.wav,17,17
44,C:\Users\Landon\Documents\audioWAV\Trumpet.novib.A5.L.wav,19,19
45,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.Eb3.L.wav,21,21
46,C:\Users\Landon\Documents\audioWAV\BbClarinet.D5.L.wav,7,13
47,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulD.Ab4.R.wav,23,10
48,C:\Users\Landon\Documents\audioWAV\Marimba.rubber.E3.L.wav,14,14
49,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.E4.R.wav,21,21
50,C:\Users\Landon\Documents\audioWAV\Marimba.rubber.E6.R.wav,14,14
51,C:\Users\Landon\Documents\audioWAV\Oboe.Eb5.L.wav,15,15
52,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulG.B4.R.wav,23,23
53,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.D3.L.wav,21,14
54,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.C6.L.wav,17,17
55,C:\Users\Landon\Documents\audioWAV\Tuba.C2.L.wav,20,20
56,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.Eb4.R.wav,14,14
57,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Ab3.L.wav,2,2
58,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulA.D5.R.wav,23,10
59,C:\Users\Landon\Documents\audioWAV\SopSax.vib.Eb5.R.wav,17,17
60,C:\Users\Landon\Documents\audioWAV\BbClarinet.E4.R.wav,7,22
61,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.Db3.L.wav,21,21
62,C:\Users\Landon\Documents\audioWAV\Trumpet.vib.Gb5.R.wav,19,19
63,C:\Users\Landon\Documents\audioWAV\bells.plastic.E8.L.wav,8,16
64,C:\Users\Landon\Documents\audioWAV\Oboe.Bb5.R.wav,15,15
65,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulA.A4.R.wav,9,9
66,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulC.E4.L.wav,22,22
67,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.B3.R.wav,1,1
68,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.Bb3.R.wav,9,9
69,C:\Users\Landon\Documents\audioWAV\Trumpet.vib.E4.L.wav,19,19
70,C:\Users\Landon\Documents\audioWAV\bells.brass.Bb7.R.wav,8,8
71,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.C3.L.wav,14,14
72,C:\Users\Landon\Documents\audioWAV\Flute.nonvib.F5.L.wav,11,11
73,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.A4.L.wav,21,21
74,C:\Users\Landon\Documents\audioWAV\Flute.vib.Bb4.L.wav,11,11
75,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulD.E4.L.wav,22,22
76,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.E5.R.wav,1,1
77,C:\Users\Landon\Documents\audioWAV\bells.brass.G6.L.wav,8,8
78,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.Ab5.L.wav,24,24
79,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.Ab3.R.wav,21,21
80,C:\Users\Landon\Documents\audioWAV\Crotale.Gb7.L.wav,16,16
81,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Gb4.L.wav,14,14
82,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.D4.L.wav,2,20
83,C:\Users\Landon\Documents\audioWAV\Vibraphone.sustain.Gb4.L.wav,21,21
84,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulE.Gb6.R.wav,23,23
85,C:\Users\Landon\Documents\audioWAV\Xylophone.hardrubber.Ab7.L.wav,24,24
86,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.C6.L.wav,21,21
87,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.E4.R.wav,21,21
88,C:\Users\Landon\Documents\audioWAV\AltoSax.vib.Gb3.L.wav,1,1
89,C:\Users\Landon\Documents\audioWAV\Xylophone.rosewood.Bb6.R.wav,24,24
90,C:\Users\Landon\Documents\audioWAV\Flute.vib.G5.R.wav,11,11
91,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.C3.L.wav,9,9
92,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.Db4.L.wav,2,15
93,C:\Users\Landon\Documents\audioWAV\Violin.arco.sulE.Eb7.L.wav,23,23
94,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.Ab5.R.wav,14,14
95,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.Gb3.L.wav,14,14
96,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.G4.R.wav,21,21
97,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.Bb4.L.wav,21,21
98,C:\Users\Landon\Documents\audioWAV\BassTrombone.B2.R.wav,6,18
99,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulG.Gb3.R.wav,9,9
100,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb1.R.wav,2,2
101,C:\Users\Landon\Documents\audioWAV\Vibraphone.bow.C5.L.wav,21,21
102,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulD.Bb4.L.wav,22,0
103,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulC.A2.L.wav,9,9
104,C:\Users\Landon\Documents\audioWAV\Crotale.C8.R.wav,16,16
105,C:\Users\Landon\Documents\audioWAV\AltoFlute.vib.E4.R.wav,0,0
106,C:\Users\Landon\Documents\audioWAV\TenorTrombone.Ab4.R.wav,18,18
107,C:\Users\Landon\Documents\audioWAV\Oboe.Eb4.R.wav,15,15
108,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.F2.L.wav,2,2
109,C:\Users\Landon\Documents\audioWAV\Marimba.rubber.Bb5.L.wav,14,14
110,C:\Users\Landon\Documents\audioWAV\bells.brass.Gb7.L.wav,8,8
111,C:\Users\Landon\Documents\audioWAV\Vibraphone.shortsustain.C4.R.wav,21,21
112,C:\Users\Landon\Documents\audioWAV\Marimba.yarn.F5.R.wav,14,14
113,C:\Users\Landon\Documents\audioWAV\bells.plastic.D6.L.wav,8,8
114,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulD.D2.R.wav,2,2
115,C:\Users\Landon\Documents\audioWAV\SopSax.nonvib.E4.L.wav,17,17
116,C:\Users\Landon\Documents\audioWAV\Cello.arco.sulD.Gb4.R.wav,9,9
117,C:\Users\Landon\Documents\audioWAV\Vibraphone.dampen.Db5.R.wav,21,14
118,C:\Users\Landon\Documents\audioWAV\Bass.arco.sulA.Bb1.L.wav,2,2
119,C:\Users\Landon\Documents\audioWAV\Bassoon.G4.L.wav,5,5
120,C:\Users\Landon\Documents\audioWAV\bells.brass.E7.L.wav,8,8
121,C:\Users\Landon\Documents\audioWAV\BassFlute.Gb5.L.wav,4,0
122,C:\Users\Landon\Documents\audioWAV\EbClarinet.A6.R.wav,10,10
123,C:\Users\Landon\Documents\audioWAV\Vibraphone.dampen.A3.L.wav,21,14
124,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Bb3.L.wav,14,14
125,C:\Users\Landon\Documents\audioWAV\Oboe.Bb5.L.wav,15,15
126,C:\Users\Landon\Documents\audioWAV\Marimba.cord.Db5.R.wav,14,14
127,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.C4.L.wav,1,1
128,C:\Users\Landon\Documents\audioWAV\BassFlute.Db6.R.wav,4,11
129,C:\Users\Landon\Documents\audioWAV\BassTrombone.Db1.L.wav,6,20
130,C:\Users\Landon\Documents\audioWAV\Viola.arco.sulG.G5.R.wav,22,22
131,C:\Users\Landon\Documents\audioWAV\Trumpet.novib.C6.R.wav,19,19
132,C:\Users\Landon\Documents\audioWAV\BbClarinet.Eb5.R.wav,7,13
133,C:\Users\Landon\Documents\audioWAV\AltoSax.NoVib.Eb5.R.wav,1,1
