CLF,Accuracy,Precision,Recall,Loss
XValCLFBeta0@2020.11.14.01.05.16.613071@PREDICTIONS.csv,0.8789772727272728,0.8181717561470383,0.8682050956034582,1.9506558179855347
XValCLFBeta1@2020.11.14.02.19.41.817205@PREDICTIONS.csv,0.8676136363636363,0.8227192218851673,0.861691183356059,2.1338160037994385
XValCLFBeta2@2020.11.14.03.34.04.100283@PREDICTIONS.csv,0.8761363636363636,0.8344472471634713,0.8650884303657301,1.996445894241333
XValCLFBeta3@2020.11.14.04.47.56.548499@PREDICTIONS.csv,0.8920454545454546,0.8620651931293176,0.8606455424510039,1.7400217056274414
XValCLFBeta4@2020.11.14.06.03.23.451340@PREDICTIONS.csv,0.8977272727272727,0.8720241319715857,0.888461735403682,1.6484416723251343
XValCLFBeta5@2020.11.14.07.17.52.649975@PREDICTIONS.csv,0.8772727272727273,0.87461938716272,0.8885526733581882,1.9781298637390137
XValCLFBeta6@2020.11.14.08.33.27.747043@PREDICTIONS.csv,0.8892045454545454,0.8824872381116383,0.8858164945164677,1.7858116626739502
XValCLFBeta7@2020.11.14.09.48.56.177812@PREDICTIONS.csv,0.897159090909091,0.909150996549799,0.8993455434331147,1.6575994491577148
XValCLFBeta8@2020.11.14.11.04.28.339504@PREDICTIONS.csv,0.875,0.8448803720172454,0.890074084123046,2.0147619247436523
XValCLFBeta9@2020.11.14.12.18.36.171119@PREDICTIONS.csv,0.8840250142126208,0.822564638955467,0.8454708986558783,1.8692959547042847
