Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,122
2,BANJO,64
3,BASS,954
4,BASSCLARINET,945
5,BASSFLUTE,69
6,BASSOON,701
7,BASSTROMBONE,50
8,BBCLARINET,849
9,BELLS,152
10,CELLO,974
11,CONTRABASSOON,645
12,CROTALE,45
13,EBCLARINET,70
14,ENGLISHHORN,1228
15,FLUTE,921
16,GUITAR,98
17,HIHAT,9
18,HORN,680
19,MANDOLIN,72
20,MARIMBA,326
21,OBOE,595
22,SAWTOOTHWAVE,184
23,SAXOPHONE,661
24,SINEWAVE,170
25,SOPSAX,115
26,SQUAREWAVE,181
27,TENORTROMBONE,61
28,TRIANGLEWAVE,182
29,TROMBONE,751
30,TRUMPET,562
31,TUBA,926
32,VIBRAPHONE,304
33,VIOLA,1055
34,VIOLIN,711
35,WHITENOISE,185
36,XYLOPHONE,158
