Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,113
2,BANJO,70
3,BASS,942
4,BASSCLARINET,932
5,BASSFLUTE,70
6,BASSOON,733
7,BASSTROMBONE,51
8,BBCLARINET,840
9,BELLS,148
10,CELLO,960
11,CONTRABASSOON,638
12,CROTALE,44
13,EBCLARINET,68
14,ENGLISHHORN,1247
15,FLUTE,901
16,GUITAR,97
17,HIHAT,10
18,HORN,676
19,MANDOLIN,65
20,MARIMBA,329
21,OBOE,594
22,SAWTOOTHWAVE,186
23,SAXOPHONE,669
24,SINEWAVE,180
25,SOPSAX,114
26,SQUAREWAVE,181
27,TENORTROMBONE,62
28,TRIANGLEWAVE,182
29,TROMBONE,759
30,TRUMPET,572
31,TUBA,945
32,VIBRAPHONE,310
33,VIOLA,1045
34,VIOLIN,710
35,WHITENOISE,177
36,XYLOPHONE,154
