Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,117
2,BANJO,69
3,BASS,970
4,BASSCLARINET,934
5,BASSFLUTE,68
6,BASSOON,713
7,BASSTROMBONE,52
8,BBCLARINET,827
9,BELLS,148
10,CELLO,960
11,CONTRABASSOON,638
12,CROTALE,41
13,EBCLARINET,76
14,ENGLISHHORN,1246
15,FLUTE,920
16,GUITAR,93
17,HIHAT,9
18,HORN,660
19,MANDOLIN,72
20,MARIMBA,330
21,OBOE,606
22,SAWTOOTHWAVE,183
23,SAXOPHONE,661
24,SINEWAVE,185
25,SOPSAX,117
26,SQUAREWAVE,179
27,TENORTROMBONE,60
28,TRIANGLEWAVE,175
29,TROMBONE,745
30,TRUMPET,562
31,TUBA,945
32,VIBRAPHONE,294
33,VIOLA,1064
34,VIOLIN,709
35,WHITENOISE,182
36,XYLOPHONE,162
