Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,118
2,BANJO,66
3,BASS,958
4,BASSCLARINET,936
5,BASSFLUTE,70
6,BASSOON,722
7,BASSTROMBONE,48
8,BBCLARINET,842
9,BELLS,147
10,CELLO,963
11,CONTRABASSOON,641
12,CROTALE,49
13,EBCLARINET,69
14,ENGLISHHORN,1237
15,FLUTE,940
16,GUITAR,96
17,HIHAT,9
18,HORN,661
19,MANDOLIN,76
20,MARIMBA,335
21,OBOE,596
22,SAWTOOTHWAVE,166
23,SAXOPHONE,667
24,SINEWAVE,180
25,SOPSAX,115
26,SQUAREWAVE,192
27,TENORTROMBONE,57
28,TRIANGLEWAVE,185
29,TROMBONE,741
30,TRUMPET,560
31,TUBA,940
32,VIBRAPHONE,298
33,VIOLA,1057
34,VIOLIN,714
35,WHITENOISE,168
36,XYLOPHONE,155
