Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,113
2,BANJO,67
3,BASS,948
4,BASSCLARINET,929
5,BASSFLUTE,69
6,BASSOON,724
7,BASSTROMBONE,50
8,BBCLARINET,852
9,BELLS,146
10,CELLO,983
11,CONTRABASSOON,644
12,CROTALE,44
13,EBCLARINET,67
14,ENGLISHHORN,1267
15,FLUTE,937
16,GUITAR,99
17,HIHAT,8
18,HORN,671
19,MANDOLIN,74
20,MARIMBA,317
21,OBOE,615
22,SAWTOOTHWAVE,169
23,SAXOPHONE,640
24,SINEWAVE,176
25,SOPSAX,116
26,SQUAREWAVE,173
27,TENORTROMBONE,64
28,TRIANGLEWAVE,179
29,TROMBONE,750
30,TRUMPET,554
31,TUBA,949
32,VIBRAPHONE,302
33,VIOLA,1050
34,VIOLIN,697
35,WHITENOISE,175
36,XYLOPHONE,157
