Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,110
2,BANJO,69
3,BASS,957
4,BASSCLARINET,930
5,BASSFLUTE,67
6,BASSOON,726
7,BASSTROMBONE,49
8,BBCLARINET,858
9,BELLS,150
10,CELLO,980
11,CONTRABASSOON,640
12,CROTALE,44
13,EBCLARINET,70
14,ENGLISHHORN,1255
15,FLUTE,929
16,GUITAR,96
17,HIHAT,9
18,HORN,653
19,MANDOLIN,66
20,MARIMBA,326
21,OBOE,596
22,SAWTOOTHWAVE,186
23,SAXOPHONE,653
24,SINEWAVE,185
25,SOPSAX,120
26,SQUAREWAVE,179
27,TENORTROMBONE,62
28,TRIANGLEWAVE,178
29,TROMBONE,751
30,TRUMPET,563
31,TUBA,944
32,VIBRAPHONE,302
33,VIOLA,1039
34,VIOLIN,690
35,WHITENOISE,185
36,XYLOPHONE,159
