Target Int,Target Str,Counts
0,ALTOFLUTE,66
1,ALTOSAX,113
2,BANJO,66
3,BASS,954
4,BASSCLARINET,933
5,BASSFLUTE,62
6,BASSOON,719
7,BASSTROMBONE,50
8,BBCLARINET,824
9,BELLS,149
10,CELLO,973
11,CONTRABASSOON,631
12,CROTALE,45
13,EBCLARINET,70
14,ENGLISHHORN,1242
15,FLUTE,933
16,GUITAR,97
17,HIHAT,10
18,HORN,669
19,MANDOLIN,77
20,MARIMBA,321
21,OBOE,595
22,SAWTOOTHWAVE,185
23,SAXOPHONE,661
24,SINEWAVE,186
25,SOPSAX,118
26,SQUAREWAVE,185
27,TENORTROMBONE,57
28,TRIANGLEWAVE,179
29,TROMBONE,739
30,TRUMPET,580
31,TUBA,945
32,VIBRAPHONE,306
33,VIOLA,1045
34,VIOLIN,712
35,WHITENOISE,185
36,XYLOPHONE,157
