Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,117
2,BANJO,65
3,BASS,963
4,BASSCLARINET,924
5,BASSFLUTE,66
6,BASSOON,722
7,BASSTROMBONE,47
8,BBCLARINET,846
9,BELLS,150
10,CELLO,985
11,CONTRABASSOON,648
12,CROTALE,46
13,EBCLARINET,71
14,ENGLISHHORN,1227
15,FLUTE,924
16,GUITAR,92
17,HIHAT,9
18,HORN,665
19,MANDOLIN,73
20,MARIMBA,328
21,OBOE,595
22,SAWTOOTHWAVE,182
23,SAXOPHONE,660
24,SINEWAVE,184
25,SOPSAX,112
26,SQUAREWAVE,178
27,TENORTROMBONE,54
28,TRIANGLEWAVE,176
29,TROMBONE,736
30,TRUMPET,566
31,TUBA,955
32,VIBRAPHONE,290
33,VIOLA,1067
34,VIOLIN,714
35,WHITENOISE,180
36,XYLOPHONE,159
