Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,112
2,BANJO,63
3,BASS,952
4,BASSCLARINET,924
5,BASSFLUTE,71
6,BASSOON,721
7,BASSTROMBONE,45
8,BBCLARINET,849
9,BELLS,142
10,CELLO,963
11,CONTRABASSOON,626
12,CROTALE,47
13,EBCLARINET,70
14,ENGLISHHORN,1245
15,FLUTE,941
16,GUITAR,96
17,HIHAT,10
18,HORN,672
19,MANDOLIN,73
20,MARIMBA,329
21,OBOE,608
22,SAWTOOTHWAVE,181
23,SAXOPHONE,655
24,SINEWAVE,173
25,SOPSAX,114
26,SQUAREWAVE,177
27,TENORTROMBONE,57
28,TRIANGLEWAVE,181
29,TROMBONE,762
30,TRUMPET,559
31,TUBA,931
32,VIBRAPHONE,299
33,VIOLA,1062
34,VIOLIN,717
35,WHITENOISE,181
36,XYLOPHONE,164
