Target Int,Target Str,Counts
0,ALTOFLUTE,61
1,ALTOSAX,117
2,BANJO,64
3,BASS,971
4,BASSCLARINET,921
5,BASSFLUTE,68
6,BASSOON,719
7,BASSTROMBONE,51
8,BBCLARINET,84
9,BELLS,145
10,CELLO,950
11,CLARINET,771
12,CONTRABASSOON,651
13,CROTALE,46
14,EBCLARINET,70
15,ENGLISHHORN,1259
16,FLUTE,939
17,GUITAR,92
18,HIHAT,10
19,HORN,669
20,MANDOLIN,70
21,MARIMBA,327
22,OBOE,597
23,SAWTOOTHWAVE,176
24,SAXOPHONE,672
25,SINEWAVE,181
26,SOPSAX,122
27,SQUAREWAVE,180
28,TENORTROMBONE,58
29,TRIANGLEWAVE,183
30,TROMBONE,735
31,TRUMPET,556
32,TUBA,932
33,VIBRAPHONE,299
34,VIOLA,1058
35,VIOLIN,701
36,WHITENOISE,174
37,XYLOPHONE,160
