Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,109
2,BANJO,68
3,BASS,947
4,BASSCLARINET,940
5,BASSFLUTE,65
6,BASSOON,724
7,BASSTROMBONE,48
8,BBCLARINET,85
9,BELLS,143
10,CELLO,982
11,CLARINET,759
12,CONTRABASSOON,630
13,CROTALE,46
14,EBCLARINET,75
15,ENGLISHHORN,1254
16,FLUTE,936
17,GUITAR,92
18,HIHAT,9
19,HORN,663
20,MANDOLIN,71
21,MARIMBA,321
22,OBOE,595
23,SAWTOOTHWAVE,179
24,SAXOPHONE,657
25,SINEWAVE,175
26,SOPSAX,118
27,SQUAREWAVE,180
28,TENORTROMBONE,61
29,TRIANGLEWAVE,171
30,TROMBONE,758
31,TRUMPET,562
32,TUBA,943
33,VIBRAPHONE,299
34,VIOLA,1057
35,VIOLIN,709
36,WHITENOISE,185
37,XYLOPHONE,159
