Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,116
2,BANJO,63
3,BASS,950
4,BASSCLARINET,931
5,BASSFLUTE,65
6,BASSOON,714
7,BASSTROMBONE,48
8,BBCLARINET,81
9,BELLS,153
10,CELLO,986
11,CLARINET,769
12,CONTRABASSOON,638
13,CROTALE,46
14,EBCLARINET,70
15,ENGLISHHORN,1246
16,FLUTE,922
17,GUITAR,95
18,HIHAT,7
19,HORN,656
20,MANDOLIN,74
21,MARIMBA,315
22,OBOE,604
23,SAWTOOTHWAVE,181
24,SAXOPHONE,653
25,SINEWAVE,181
26,SOPSAX,120
27,SQUAREWAVE,182
28,TENORTROMBONE,57
29,TRIANGLEWAVE,183
30,TROMBONE,745
31,TRUMPET,562
32,TUBA,949
33,VIBRAPHONE,309
34,VIOLA,1048
35,VIOLIN,708
36,WHITENOISE,182
37,XYLOPHONE,163
