Target Int,Target Str,Counts
0,ALTOFLUTE,66
1,ALTOSAX,113
2,BANJO,68
3,BASS,960
4,BASSCLARINET,933
5,BASSFLUTE,65
6,BASSOON,709
7,BASSTROMBONE,47
8,BBCLARINET,89
9,BELLS,147
10,CELLO,973
11,CLARINET,761
12,CONTRABASSOON,641
13,CROTALE,47
14,EBCLARINET,68
15,ENGLISHHORN,1246
16,FLUTE,913
17,GUITAR,98
18,HIHAT,10
19,HORN,669
20,MANDOLIN,75
21,MARIMBA,332
22,OBOE,616
23,SAWTOOTHWAVE,177
24,SAXOPHONE,652
25,SINEWAVE,182
26,SOPSAX,117
27,SQUAREWAVE,181
28,TENORTROMBONE,58
29,TRIANGLEWAVE,178
30,TROMBONE,741
31,TRUMPET,561
32,TUBA,947
33,VIBRAPHONE,305
34,VIOLA,1054
35,VIOLIN,704
36,WHITENOISE,175
37,XYLOPHONE,161
