Target Int,Target Str,Counts
0,ALTOFLUTE,67
1,ALTOSAX,116
2,BANJO,68
3,BASS,967
4,BASSCLARINET,924
5,BASSFLUTE,71
6,BASSOON,727
7,BASSTROMBONE,49
8,BBCLARINET,82
9,BELLS,148
10,CELLO,966
11,CLARINET,750
12,CONTRABASSOON,648
13,CROTALE,45
14,EBCLARINET,72
15,ENGLISHHORN,1234
16,FLUTE,942
17,GUITAR,101
18,HIHAT,8
19,HORN,660
20,MANDOLIN,69
21,MARIMBA,331
22,OBOE,588
23,SAWTOOTHWAVE,178
24,SAXOPHONE,659
25,SINEWAVE,177
26,SOPSAX,110
27,SQUAREWAVE,179
28,TENORTROMBONE,58
29,TRIANGLEWAVE,182
30,TROMBONE,744
31,TRUMPET,567
32,TUBA,930
33,VIBRAPHONE,306
34,VIOLA,1049
35,VIOLIN,715
36,WHITENOISE,187
37,XYLOPHONE,166
