Target Int,Target Str,Counts
0,ALTOFLUTE,69
1,ALTOSAX,111
2,BANJO,68
3,BASS,958
4,BASSCLARINET,938
5,BASSFLUTE,69
6,BASSOON,729
7,BASSTROMBONE,49
8,BBCLARINET,83
9,BELLS,148
10,CELLO,979
11,CLARINET,757
12,CONTRABASSOON,624
13,CROTALE,44
14,EBCLARINET,75
15,ENGLISHHORN,1247
16,FLUTE,920
17,GUITAR,100
18,HIHAT,10
19,HORN,662
20,MANDOLIN,71
21,MARIMBA,328
22,OBOE,601
23,SAWTOOTHWAVE,185
24,SAXOPHONE,648
25,SINEWAVE,173
26,SOPSAX,114
27,SQUAREWAVE,176
28,TENORTROMBONE,61
29,TRIANGLEWAVE,176
30,TROMBONE,745
31,TRUMPET,578
32,TUBA,941
33,VIBRAPHONE,292
34,VIOLA,1057
35,VIOLIN,712
36,WHITENOISE,178
37,XYLOPHONE,163
