Target Int,Target Str,Counts
0,ALTOFLUTE,64
1,ALTOSAX,116
2,BANJO,67
3,BASS,948
4,BASSCLARINET,930
5,BASSFLUTE,69
6,BASSOON,723
7,BASSTROMBONE,49
8,BBCLARINET,84
9,BELLS,143
10,CELLO,958
11,CLARINET,755
12,CONTRABASSOON,637
13,CROTALE,42
14,EBCLARINET,61
15,ENGLISHHORN,1233
16,FLUTE,934
17,GUITAR,95
18,HIHAT,10
19,HORN,659
20,MANDOLIN,72
21,MARIMBA,327
22,OBOE,591
23,SAWTOOTHWAVE,179
24,SAXOPHONE,679
25,SINEWAVE,184
26,SOPSAX,117
27,SQUAREWAVE,179
28,TENORTROMBONE,57
29,TRIANGLEWAVE,178
30,TROMBONE,745
31,TRUMPET,565
32,TUBA,963
33,VIBRAPHONE,315
34,VIOLA,1061
35,VIOLIN,715
36,WHITENOISE,180
37,XYLOPHONE,155
