Target Int,Target Str,Counts
0,ALTOFLUTE,61
1,ALTOSAX,118
2,BANJO,67
3,BASS,949
4,BASSCLARINET,927
5,BASSFLUTE,71
6,BASSOON,725
7,BASSTROMBONE,53
8,BBCLARINET,81
9,BELLS,146
10,CELLO,970
11,CLARINET,771
12,CONTRABASSOON,646
13,CROTALE,46
14,EBCLARINET,69
15,ENGLISHHORN,1249
16,FLUTE,929
17,GUITAR,96
18,HIHAT,7
19,HORN,664
20,MANDOLIN,68
21,MARIMBA,332
22,OBOE,601
23,SAWTOOTHWAVE,177
24,SAXOPHONE,664
25,SINEWAVE,179
26,SOPSAX,117
27,SQUAREWAVE,182
28,TENORTROMBONE,61
29,TRIANGLEWAVE,191
30,TROMBONE,757
31,TRUMPET,554
32,TUBA,931
33,VIBRAPHONE,293
34,VIOLA,1056
35,VIOLIN,706
36,WHITENOISE,180
37,XYLOPHONE,145
