Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,115
2,BANJO,71
3,BASS,947
4,BASSCLARINET,920
5,BASSFLUTE,64
6,BASSOON,726
7,BASSTROMBONE,46
8,BBCLARINET,828
9,BELLS,145
10,CELLO,987
11,CONTRABASSOON,622
12,CROTALE,47
13,EBCLARINET,71
14,ENGLISHHORN,1246
15,FLUTE,921
16,GUITAR,96
17,HIHAT,9
18,HORN,669
19,MANDOLIN,74
20,MARIMBA,327
21,OBOE,597
22,SAWTOOTHWAVE,184
23,SAXOPHONE,658
24,SINEWAVE,170
25,SOPSAX,116
26,SQUAREWAVE,181
27,TENORTROMBONE,60
28,TRIANGLEWAVE,177
29,TROMBONE,762
30,TRUMPET,564
31,TUBA,945
32,VIBRAPHONE,303
33,VIOLA,1082
34,VIOLIN,706
35,WHITENOISE,182
36,XYLOPHONE,158
