Target Int,Target Str,Counts
0,ALTOFLUTE,68
1,ALTOSAX,118
2,BANJO,66
3,BASS,953
4,BASSCLARINET,919
5,BASSFLUTE,72
6,BASSOON,712
7,BASSTROMBONE,50
8,BBCLARINET,849
9,BELLS,153
10,CELLO,968
11,CONTRABASSOON,652
12,CROTALE,47
13,EBCLARINET,70
14,ENGLISHHORN,1236
15,FLUTE,949
16,GUITAR,96
17,HIHAT,9
18,HORN,671
19,MANDOLIN,71
20,MARIMBA,333
21,OBOE,612
22,SAWTOOTHWAVE,167
23,SAXOPHONE,656
24,SINEWAVE,184
25,SOPSAX,112
26,SQUAREWAVE,172
27,TENORTROMBONE,60
28,TRIANGLEWAVE,175
29,TROMBONE,736
30,TRUMPET,567
31,TUBA,929
32,VIBRAPHONE,303
33,VIOLA,1056
34,VIOLIN,710
35,WHITENOISE,179
36,XYLOPHONE,159
