Target Int,Target Str,Counts
0,ALTOFLUTE,68
1,ALTOSAX,115
2,BANJO,70
3,BASS,950
4,BASSCLARINET,932
5,BASSFLUTE,66
6,BASSOON,726
7,BASSTROMBONE,50
8,BBCLARINET,839
9,BELLS,149
10,CELLO,980
11,CONTRABASSOON,630
12,CROTALE,42
13,EBCLARINET,70
14,ENGLISHHORN,1254
15,FLUTE,926
16,GUITAR,94
17,HIHAT,9
18,HORN,663
19,MANDOLIN,67
20,MARIMBA,323
21,OBOE,596
22,SAWTOOTHWAVE,173
23,SAXOPHONE,664
24,SINEWAVE,181
25,SOPSAX,123
26,SQUAREWAVE,180
27,TENORTROMBONE,60
28,TRIANGLEWAVE,183
29,TROMBONE,755
30,TRUMPET,556
31,TUBA,963
32,VIBRAPHONE,301
33,VIOLA,1045
34,VIOLIN,703
35,WHITENOISE,174
36,XYLOPHONE,160
