Target Int,Target Str,Counts
0,ALTOFLUTE,66
1,ALTOSAX,121
2,BANJO,67
3,BASS,960
4,BASSCLARINET,916
5,BASSFLUTE,71
6,BASSOON,729
7,BASSTROMBONE,50
8,BBCLARINET,835
9,BELLS,147
10,CELLO,975
11,CONTRABASSOON,634
12,CROTALE,42
13,EBCLARINET,68
14,ENGLISHHORN,1258
15,FLUTE,919
16,GUITAR,99
17,HIHAT,9
18,HORN,666
19,MANDOLIN,76
20,MARIMBA,322
21,OBOE,591
22,SAWTOOTHWAVE,189
23,SAXOPHONE,668
24,SINEWAVE,182
25,SOPSAX,112
26,SQUAREWAVE,180
27,TENORTROMBONE,62
28,TRIANGLEWAVE,184
29,TROMBONE,726
30,TRUMPET,573
31,TUBA,939
32,VIBRAPHONE,303
33,VIOLA,1051
34,VIOLIN,710
35,WHITENOISE,182
36,XYLOPHONE,157
