Target Int,Target Str,Counts
0,ALTOFLUTE,63
1,ALTOSAX,114
2,BANJO,63
3,BASS,941
4,BASSCLARINET,943
5,BASSFLUTE,66
6,BASSOON,711
7,BASSTROMBONE,51
8,BBCLARINET,855
9,BELLS,152
10,CELLO,979
11,CONTRABASSOON,647
12,CROTALE,47
13,EBCLARINET,67
14,ENGLISHHORN,1242
15,FLUTE,931
16,GUITAR,94
17,HIHAT,9
18,HORN,648
19,MANDOLIN,73
20,MARIMBA,324
21,OBOE,606
22,SAWTOOTHWAVE,183
23,SAXOPHONE,655
24,SINEWAVE,182
25,SOPSAX,115
26,SQUAREWAVE,177
27,TENORTROMBONE,58
28,TRIANGLEWAVE,185
29,TROMBONE,747
30,TRUMPET,560
31,TUBA,941
32,VIBRAPHONE,298
33,VIOLA,1061
34,VIOLIN,710
35,WHITENOISE,178
36,XYLOPHONE,163
