Target Int,Target Str,Counts
0,ALTOFLUTE,65
1,ALTOSAX,118
2,BANJO,70
3,BASS,968
4,BASSCLARINET,935
5,BASSFLUTE,70
6,BASSOON,725
7,BASSTROMBONE,48
8,BBCLARINET,843
9,BELLS,148
10,CELLO,961
11,CONTRABASSOON,631
12,CROTALE,47
13,EBCLARINET,71
14,ENGLISHHORN,1253
15,FLUTE,919
16,GUITAR,97
17,HIHAT,10
18,HORN,671
19,MANDOLIN,73
20,MARIMBA,331
21,OBOE,600
22,SAWTOOTHWAVE,175
23,SAXOPHONE,661
24,SINEWAVE,183
25,SOPSAX,110
26,SQUAREWAVE,186
27,TENORTROMBONE,62
28,TRIANGLEWAVE,183
29,TROMBONE,747
30,TRUMPET,563
31,TUBA,933
32,VIBRAPHONE,290
33,VIOLA,1042
34,VIOLIN,715
35,WHITENOISE,179
36,XYLOPHONE,156
